Episode,Throughput_Mbps,JFI,MARL_Reward,Active_APs,Eval_Throughput_Mbps,Eval_JFI,Eval_Active_APs
149,487.65,0.649,0.83,5.98,,,
150,444.39,0.555,0.7,5.05,421.44,0.616,5.55
151,427.52,0.551,0.68,5.06,,,
152,489.19,0.641,0.82,5.97,,,
153,490.21,0.639,0.83,6.0,,,
154,474.2,0.653,0.82,5.95,,,
155,482.42,0.65,0.83,6.0,,,
156,475.6,0.641,0.81,5.89,,,
157,490.17,0.638,0.82,5.96,,,
158,452.76,0.541,0.7,5.06,,,
159,445.52,0.554,0.69,5.0,,,
160,491.95,0.636,0.82,5.93,,,
161,442.96,0.554,0.69,5.02,,,
162,457.67,0.566,0.73,5.29,,,
163,481.7,0.637,0.82,5.94,,,
164,480.83,0.613,0.79,5.69,,,
165,495.27,0.646,0.83,5.99,,,
166,473.55,0.6,0.78,5.68,,,
167,477.8,0.634,0.82,5.99,,,
168,479.44,0.625,0.82,5.99,,,
169,455.48,0.596,0.75,5.47,,,
170,478.04,0.639,0.82,5.95,,,
171,469.17,0.618,0.81,5.97,,,
172,424.31,0.535,0.67,5.0,,,
173,424.74,0.545,0.68,5.01,,,
174,482.04,0.641,0.82,5.91,,,
175,470.12,0.622,0.8,5.89,,,
176,486.44,0.644,0.83,6.0,,,
177,482.31,0.623,0.82,5.98,,,
178,471.98,0.622,0.81,5.99,,,
179,481.52,0.627,0.81,5.93,,,
180,476.11,0.631,0.82,5.99,,,
181,478.45,0.634,0.82,6.0,,,
182,493.38,0.629,0.83,6.0,,,
183,489.93,0.658,0.83,5.97,,,
184,479.21,0.625,0.81,5.97,,,
185,483.47,0.625,0.82,5.98,,,
186,484.58,0.626,0.81,5.93,,,
187,493.66,0.627,0.83,5.99,,,
188,478.43,0.631,0.82,5.98,,,
189,490.62,0.637,0.82,5.95,,,
190,429.2,0.54,0.68,5.08,,,
191,470.44,0.604,0.77,5.62,,,
192,446.42,0.561,0.71,5.23,,,
193,448.23,0.558,0.72,5.25,,,
194,483.26,0.638,0.82,5.95,,,
195,466.42,0.615,0.79,5.86,,,
196,477.41,0.618,0.81,5.99,,,
197,471.98,0.621,0.81,5.97,,,
198,493.04,0.66,0.83,5.96,,,
199,478.91,0.646,0.82,5.98,,,
200,490.26,0.649,0.83,5.98,430.76,0.634,6.0
201,496.78,0.63,0.83,5.99,,,
202,498.01,0.63,0.83,5.99,,,
203,487.57,0.651,0.82,5.88,,,
204,466.22,0.614,0.8,5.95,,,
205,483.5,0.636,0.82,5.98,,,
206,496.76,0.626,0.82,5.95,,,
207,489.76,0.64,0.82,5.85,,,
208,492.9,0.648,0.83,5.96,,,
209,479.53,0.657,0.82,5.95,,,
210,493.69,0.653,0.83,5.97,,,
211,490.26,0.646,0.83,6.0,,,
212,498.79,0.67,0.84,6.0,,,
213,497.03,0.667,0.83,5.94,,,
214,494.91,0.641,0.83,5.97,,,
215,488.91,0.636,0.82,5.99,,,
216,460.43,0.59,0.73,5.26,,,
217,480.42,0.647,0.82,5.99,,,
218,493.84,0.64,0.83,5.98,,,
219,483.38,0.634,0.82,6.0,,,
220,477.43,0.626,0.82,6.0,,,
221,492.08,0.66,0.83,5.98,,,
222,493.9,0.67,0.84,6.0,,,
223,494.66,0.662,0.83,5.95,,,
224,495.29,0.638,0.83,5.94,,,
225,498.2,0.672,0.84,5.99,,,
226,495.46,0.667,0.84,5.97,,,
227,496.7,0.665,0.84,5.96,,,
228,495.78,0.657,0.84,6.0,,,
229,494.98,0.655,0.83,5.97,,,
230,496.63,0.664,0.84,5.99,,,
231,488.53,0.654,0.83,5.98,,,
232,491.18,0.652,0.83,5.97,,,
233,488.77,0.653,0.83,5.99,,,
234,488.11,0.65,0.83,5.97,,,
235,498.06,0.661,0.84,5.99,,,
236,498.04,0.672,0.84,6.0,,,
237,480.45,0.636,0.79,5.69,,,
238,491.91,0.661,0.83,5.98,,,
239,496.2,0.663,0.84,6.0,,,
240,492.85,0.652,0.83,5.98,,,
241,498.47,0.662,0.84,5.99,,,
242,496.7,0.66,0.84,5.99,,,
243,498.03,0.67,0.84,5.98,,,
244,496.84,0.647,0.83,5.98,,,
245,497.83,0.665,0.84,6.0,,,
246,495.73,0.664,0.84,6.0,,,
247,499.44,0.669,0.84,6.0,,,
248,496.12,0.653,0.84,6.0,,,
249,486.32,0.637,0.82,5.99,,,
250,488.58,0.656,0.83,5.94,430.52,0.597,6.0
251,475.65,0.63,0.81,5.97,,,
252,493.51,0.651,0.83,5.96,,,
253,487.98,0.632,0.82,5.98,,,
254,498.99,0.673,0.84,6.0,,,
255,498.68,0.671,0.84,6.0,,,
256,497.22,0.667,0.84,5.97,,,
