Episode,Throughput_Mbps,JFI,MARL_Reward,Active_APs,Eval_Throughput_Mbps,Eval_JFI,Eval_Active_APs
641,463.33,0.612,0.76,5.53,,,
642,484.07,0.633,0.82,5.98,,,
643,490.0,0.655,0.83,5.98,,,
644,470.55,0.658,0.82,5.92,,,
645,490.48,0.652,0.83,5.94,,,
646,486.64,0.648,0.83,5.98,,,
647,478.44,0.623,0.81,5.98,,,
648,465.02,0.608,0.76,5.46,,,
649,479.88,0.638,0.8,5.79,,,
650,484.55,0.65,0.82,5.89,399.28,0.593,5.07
651,495.6,0.662,0.84,5.99,,,
652,474.36,0.612,0.77,5.45,,,
653,498.23,0.661,0.84,6.0,,,
654,449.91,0.604,0.75,5.42,,,
655,482.87,0.634,0.82,6.0,,,
656,483.97,0.648,0.83,6.0,,,
657,477.95,0.65,0.82,6.0,,,
658,490.64,0.648,0.83,5.98,,,
659,492.86,0.658,0.84,6.0,,,
660,486.85,0.647,0.83,6.0,,,
661,471.54,0.647,0.82,5.97,,,
662,437.17,0.579,0.71,5.1,,,
663,484.44,0.647,0.82,5.9,,,
664,496.47,0.663,0.84,6.0,,,
665,479.37,0.646,0.82,5.97,,,
666,477.84,0.626,0.79,5.67,,,
667,487.0,0.656,0.83,5.98,,,
668,468.42,0.623,0.78,5.64,,,
669,473.33,0.634,0.8,5.79,,,
670,486.55,0.65,0.83,5.99,,,
671,452.79,0.585,0.75,5.55,,,
672,466.89,0.623,0.8,5.88,,,
673,454.17,0.6,0.74,5.36,,,
674,489.51,0.65,0.83,6.0,,,
675,434.81,0.572,0.7,5.08,,,
676,479.92,0.642,0.81,5.87,,,
677,488.38,0.64,0.82,5.94,,,
678,486.11,0.661,0.83,5.98,,,
679,460.4,0.608,0.75,5.43,,,
680,468.44,0.612,0.77,5.51,,,
681,455.46,0.62,0.77,5.57,,,
682,464.65,0.616,0.77,5.53,,,
683,461.15,0.604,0.75,5.43,,,
684,462.92,0.61,0.75,5.35,,,
685,492.58,0.656,0.83,5.98,,,
686,483.73,0.648,0.81,5.82,,,
687,487.05,0.645,0.82,5.89,,,
688,495.58,0.663,0.84,5.99,,,
689,492.72,0.656,0.83,5.95,,,
690,491.1,0.643,0.83,5.97,,,
691,493.84,0.659,0.83,5.96,,,
692,496.89,0.666,0.84,5.99,,,
693,426.8,0.569,0.69,5.02,,,
694,445.49,0.571,0.71,5.09,,,
695,465.86,0.613,0.76,5.49,,,
696,479.23,0.635,0.8,5.72,,,
697,445.77,0.58,0.72,5.21,,,
698,484.19,0.636,0.8,5.73,,,
699,477.61,0.648,0.81,5.88,,,
700,436.12,0.577,0.7,5.05,402.25,0.6,5.17
701,465.16,0.607,0.76,5.41,,,
702,429.12,0.538,0.67,4.86,,,
703,459.22,0.586,0.74,5.3,,,
704,482.14,0.643,0.81,5.77,,,
705,438.15,0.581,0.71,5.12,,,
706,449.29,0.563,0.7,4.99,,,
707,459.45,0.591,0.74,5.38,,,
708,482.68,0.634,0.81,5.81,,,
709,450.51,0.598,0.73,5.3,,,
710,495.03,0.667,0.84,5.97,,,
711,464.39,0.615,0.76,5.44,,,
712,468.48,0.607,0.76,5.45,,,
713,483.58,0.644,0.81,5.77,,,
714,488.02,0.655,0.82,5.88,,,
715,457.19,0.596,0.74,5.34,,,
716,462.09,0.605,0.77,5.57,,,
717,462.78,0.611,0.76,5.48,,,
718,483.53,0.643,0.8,5.73,,,
719,429.51,0.541,0.67,4.83,,,
720,438.45,0.56,0.7,5.11,,,
721,489.66,0.65,0.83,5.97,,,
722,481.33,0.651,0.81,5.81,,,
723,480.53,0.648,0.81,5.86,,,
724,422.85,0.535,0.66,4.81,,,
725,497.19,0.665,0.84,5.93,,,
726,471.65,0.629,0.79,5.69,,,
727,486.42,0.655,0.82,5.84,,,
728,496.47,0.663,0.84,5.98,,,
729,491.65,0.663,0.84,5.99,,,
730,497.17,0.67,0.84,5.98,,,
731,481.49,0.648,0.81,5.74,,,
732,467.35,0.633,0.79,5.73,,,
733,493.27,0.671,0.84,5.97,,,
734,490.26,0.669,0.84,5.99,,,
735,429.11,0.524,0.66,4.87,,,
736,403.52,0.52,0.64,4.69,,,
737,490.99,0.668,0.84,5.99,,,
738,472.67,0.651,0.8,5.75,,,
739,489.02,0.674,0.84,5.99,,,
740,477.13,0.631,0.79,5.65,,,
741,487.81,0.654,0.82,5.83,,,
742,497.2,0.674,0.85,6.0,,,
743,496.49,0.67,0.84,5.95,,,
744,495.29,0.67,0.84,5.98,,,
745,490.44,0.669,0.84,5.99,,,
746,494.37,0.664,0.84,5.99,,,
747,445.76,0.585,0.72,5.22,,,
748,466.52,0.598,0.75,5.37,,,
749,492.75,0.665,0.83,5.96,,,
750,488.33,0.661,0.84,5.99,423.73,0.622,5.59
751,473.82,0.611,0.77,5.53,,,
752,496.08,0.669,0.84,5.97,,,
753,496.21,0.665,0.84,5.99,,,
754,463.78,0.59,0.75,5.34,,,
755,461.36,0.59,0.75,5.38,,,
756,490.24,0.655,0.83,5.98,,,
757,450.6,0.56,0.71,5.09,,,
758,478.69,0.641,0.8,5.77,,,
759,493.47,0.663,0.83,5.94,,,
760,466.24,0.617,0.77,5.55,,,
761,482.47,0.67,0.84,6.0,,,
762,492.53,0.668,0.84,5.99,,,
763,475.82,0.643,0.81,5.8,,,
764,493.54,0.661,0.83,5.94,,,
765,495.75,0.677,0.84,5.98,,,
766,490.89,0.666,0.84,5.97,,,
767,494.3,0.661,0.83,5.92,,,
768,481.09,0.645,0.81,5.79,,,
769,494.35,0.656,0.82,5.82,,,
770,488.32,0.653,0.83,5.94,,,
771,486.02,0.642,0.82,5.88,,,
772,482.63,0.67,0.83,5.99,,,
773,495.26,0.661,0.83,5.95,,,
774,470.8,0.607,0.77,5.5,,,
775,465.1,0.616,0.77,5.58,,,
776,482.18,0.667,0.83,6.0,,,
777,460.33,0.58,0.73,5.28,,,
778,456.95,0.59,0.74,5.34,,,
779,462.87,0.582,0.74,5.29,,,
780,482.53,0.66,0.83,5.94,,,
781,453.94,0.587,0.73,5.27,,,
782,481.02,0.674,0.83,5.95,,,
783,486.14,0.659,0.82,5.81,,,
784,489.61,0.644,0.81,5.8,,,
785,484.23,0.644,0.81,5.79,,,
786,472.43,0.631,0.78,5.59,,,
787,446.38,0.53,0.69,4.98,,,
788,483.42,0.652,0.82,5.92,,,
789,468.92,0.621,0.78,5.62,,,
790,480.69,0.67,0.83,5.94,,,
791,488.8,0.642,0.82,5.83,,,
792,488.3,0.641,0.83,5.97,,,
793,492.05,0.657,0.83,5.88,,,
794,494.43,0.655,0.83,5.96,,,
795,477.72,0.64,0.81,5.91,,,
796,470.84,0.635,0.79,5.65,,,
797,493.72,0.664,0.84,5.98,,,
798,486.64,0.664,0.83,5.97,,,
799,462.54,0.603,0.77,5.61,,,
800,430.88,0.554,0.69,5.07,420.72,0.638,5.52
801,491.58,0.661,0.83,5.94,,,
802,489.48,0.646,0.83,5.95,,,
803,488.14,0.665,0.84,5.99,,,
804,490.9,0.668,0.84,5.95,,,
805,494.41,0.655,0.83,5.92,,,
806,493.99,0.654,0.83,5.96,,,
807,475.8,0.637,0.81,5.88,,,
808,483.06,0.642,0.82,5.89,,,
809,465.86,0.626,0.8,5.9,,,
810,469.55,0.606,0.76,5.45,,,
811,446.94,0.561,0.71,5.22,,,
812,487.82,0.648,0.81,5.82,,,
813,492.36,0.658,0.83,5.9,,,
814,495.1,0.663,0.84,5.96,,,
815,474.52,0.63,0.79,5.64,,,
816,494.38,0.666,0.84,5.98,,,
817,466.36,0.604,0.76,5.43,,,
818,453.88,0.561,0.71,5.15,,,
819,463.15,0.6,0.75,5.41,,,
820,495.86,0.659,0.84,5.96,,,
821,494.5,0.663,0.84,5.97,,,
822,473.53,0.649,0.81,5.8,,,
823,486.74,0.646,0.81,5.79,,,
824,491.82,0.662,0.83,5.93,,,
825,493.72,0.659,0.83,5.97,,,
826,489.74,0.653,0.83,5.91,,,
827,487.71,0.647,0.81,5.82,,,
828,489.15,0.654,0.83,5.97,,,
829,491.1,0.658,0.83,5.96,,,
830,495.63,0.667,0.84,5.96,,,
831,469.89,0.611,0.76,5.46,,,
832,466.63,0.582,0.74,5.36,,,
833,492.26,0.66,0.81,5.75,,,
834,411.01,0.481,0.59,4.07,,,
835,453.58,0.583,0.72,5.16,,,
836,491.47,0.66,0.83,5.98,,,
837,480.17,0.651,0.8,5.7,,,
838,450.91,0.581,0.71,5.07,,,
839,485.43,0.668,0.83,5.96,,,
840,492.2,0.663,0.83,5.88,,,
841,462.5,0.619,0.75,5.29,,,
842,451.19,0.6,0.72,5.09,,,
843,484.72,0.669,0.83,5.94,,,
844,448.23,0.584,0.72,5.1,,,
845,443.99,0.584,0.7,5.04,,,
846,483.69,0.654,0.81,5.8,,,
847,439.98,0.584,0.72,5.13,,,
848,448.95,0.559,0.7,5.03,,,
849,486.66,0.66,0.83,5.95,,,
850,480.34,0.658,0.82,5.84,373.01,0.533,4.44
851,474.9,0.628,0.78,5.6,,,
852,462.47,0.606,0.75,5.33,,,
853,493.74,0.663,0.83,5.95,,,
854,481.61,0.659,0.82,5.85,,,
855,453.94,0.599,0.74,5.28,,,
856,475.18,0.653,0.83,5.97,,,
857,467.06,0.609,0.77,5.5,,,
858,480.74,0.636,0.79,5.67,,,
859,439.8,0.552,0.69,5.02,,,
860,471.91,0.656,0.8,5.75,,,
861,465.54,0.597,0.76,5.43,,,
862,468.72,0.618,0.75,5.27,,,
863,489.46,0.66,0.82,5.89,,,
864,479.74,0.64,0.8,5.69,,,
865,480.5,0.638,0.82,5.95,,,
866,484.97,0.644,0.82,5.88,,,
867,487.66,0.645,0.82,5.9,,,
868,492.77,0.663,0.84,5.99,,,
869,493.53,0.667,0.84,5.96,,,
870,463.62,0.601,0.75,5.34,,,
871,461.7,0.601,0.74,5.26,,,
872,497.59,0.667,0.84,5.96,,,
873,494.81,0.658,0.84,5.98,,,
874,496.27,0.665,0.84,5.95,,,
875,495.86,0.672,0.84,5.97,,,
876,497.05,0.669,0.84,5.97,,,
877,496.64,0.669,0.84,5.96,,,
878,485.45,0.644,0.81,5.75,,,
879,482.53,0.639,0.8,5.72,,,
880,476.76,0.634,0.79,5.66,,,
881,487.99,0.654,0.83,5.93,,,
882,493.47,0.66,0.83,5.93,,,
883,489.41,0.663,0.83,5.86,,,
884,491.84,0.658,0.84,6.0,,,
885,493.16,0.655,0.84,6.0,,,
886,491.89,0.66,0.83,5.93,,,
887,494.42,0.669,0.84,5.97,,,
888,486.79,0.65,0.82,5.84,,,
889,435.93,0.539,0.67,4.83,,,
890,488.14,0.652,0.82,5.9,,,
891,489.5,0.659,0.83,5.96,,,
892,493.23,0.663,0.84,5.99,,,
893,492.73,0.661,0.83,5.96,,,
894,491.31,0.663,0.84,5.98,,,
895,493.32,0.659,0.83,5.96,,,
896,487.61,0.651,0.82,5.87,,,
897,490.67,0.658,0.83,5.99,,,
898,488.97,0.654,0.82,5.84,,,
899,492.42,0.66,0.83,5.98,,,
900,435.97,0.548,0.68,4.83,414.23,0.61,5.5
901,489.35,0.645,0.82,5.9,,,
902,489.19,0.651,0.83,5.95,,,
903,485.0,0.647,0.81,5.76,,,
904,492.75,0.654,0.83,5.98,,,
905,492.07,0.657,0.83,5.96,,,
906,492.05,0.654,0.83,5.91,,,
907,492.9,0.667,0.84,5.95,,,
908,493.93,0.672,0.84,6.0,,,
909,492.69,0.645,0.83,5.92,,,
910,468.22,0.579,0.73,5.18,,,
911,485.28,0.613,0.79,5.65,,,
912,491.33,0.656,0.83,5.96,,,
913,496.86,0.658,0.84,5.97,,,
914,490.74,0.66,0.84,5.98,,,
915,477.97,0.623,0.78,5.57,,,
916,495.57,0.66,0.83,5.94,,,
917,496.25,0.66,0.83,5.93,,,
918,481.86,0.643,0.81,5.81,,,
919,469.57,0.628,0.78,5.61,,,
920,490.57,0.651,0.82,5.9,,,
921,493.61,0.654,0.83,5.89,,,
922,489.95,0.659,0.83,5.91,,,
923,491.16,0.661,0.83,5.92,,,
924,478.41,0.635,0.8,5.74,,,
925,483.81,0.641,0.81,5.79,,,
926,489.77,0.653,0.82,5.88,,,
927,487.33,0.647,0.82,5.83,,,
928,490.12,0.657,0.82,5.87,,,
929,491.01,0.655,0.83,5.91,,,
930,495.7,0.647,0.83,5.95,,,
931,480.59,0.636,0.8,5.68,,,
932,493.75,0.665,0.83,5.94,,,
933,493.89,0.656,0.83,5.89,,,
934,486.18,0.651,0.82,5.88,,,
935,491.86,0.666,0.84,5.99,,,
936,485.22,0.65,0.83,5.95,,,
937,488.08,0.64,0.82,5.92,,,
938,495.12,0.661,0.83,5.92,,,
939,480.51,0.634,0.79,5.67,,,
940,494.41,0.66,0.83,5.91,,,
941,493.94,0.662,0.83,5.92,,,
942,484.69,0.65,0.81,5.81,,,
943,486.64,0.644,0.81,5.8,,,
944,489.97,0.644,0.82,5.89,,,
945,489.39,0.657,0.83,5.91,,,
946,487.95,0.654,0.82,5.88,,,
947,486.58,0.659,0.83,6.0,,,
948,489.14,0.656,0.83,5.9,,,
949,484.8,0.648,0.81,5.76,,,
950,487.84,0.664,0.82,5.85,421.83,0.639,5.74
951,476.87,0.63,0.81,5.83,,,
952,489.46,0.657,0.83,5.97,,,
953,486.76,0.647,0.83,5.94,,,
954,492.21,0.664,0.84,5.98,,,
955,489.37,0.658,0.83,5.97,,,
956,492.67,0.654,0.83,5.99,,,
957,493.69,0.665,0.83,5.95,,,
958,492.1,0.665,0.83,5.93,,,
959,493.65,0.657,0.83,5.95,,,
960,489.08,0.651,0.82,5.9,,,
961,493.49,0.657,0.83,5.89,,,
962,493.62,0.663,0.83,5.92,,,
963,493.21,0.669,0.84,5.97,,,
964,489.04,0.654,0.83,5.95,,,
965,497.34,0.67,0.84,5.98,,,
966,492.57,0.653,0.83,5.93,,,
967,495.68,0.658,0.84,5.99,,,
968,493.52,0.661,0.83,5.94,,,
969,489.16,0.659,0.83,5.92,,,
970,480.22,0.637,0.82,5.97,,,
971,497.9,0.663,0.84,5.97,,,
972,494.22,0.639,0.82,5.91,,,
973,490.03,0.65,0.83,5.95,,,
974,485.17,0.644,0.82,5.9,,,
975,480.35,0.644,0.8,5.73,,,
976,480.45,0.639,0.81,5.9,,,
977,491.52,0.657,0.83,5.93,,,
978,489.15,0.662,0.83,5.95,,,
979,484.42,0.65,0.82,5.9,,,
980,483.38,0.647,0.81,5.82,,,
981,485.83,0.652,0.83,5.97,,,
982,486.12,0.654,0.82,5.85,,,
983,490.31,0.658,0.83,5.93,,,
984,485.1,0.643,0.81,5.75,,,
985,482.25,0.641,0.82,5.95,,,
986,479.74,0.64,0.82,5.95,,,
987,488.32,0.655,0.83,5.95,,,
988,494.26,0.665,0.84,5.96,,,
989,489.84,0.662,0.83,5.94,,,
990,486.53,0.651,0.82,5.84,,,
991,492.9,0.648,0.83,5.94,,,
992,487.23,0.652,0.83,5.98,,,
993,488.84,0.658,0.83,5.91,,,
994,490.86,0.662,0.83,5.95,,,
995,491.51,0.661,0.83,5.94,,,
996,492.4,0.653,0.83,5.96,,,
997,486.14,0.647,0.83,5.96,,,
998,488.48,0.652,0.82,5.91,,,
999,485.67,0.643,0.81,5.83,,,
1000,490.77,0.661,0.83,5.98,428.06,0.664,5.89
