Episode,Throughput_Mbps,JFI,MARL_Reward,Active_APs,Eval_Throughput_Mbps,Eval_JFI,Eval_Active_APs,Eval_Mode
140,369.05,0.471,0.58,4.49,,,,
141,345.29,0.431,0.54,4.04,,,,
142,408.14,0.5,0.63,4.28,,,,
143,383.22,0.498,0.6,4.63,,,,
144,315.83,0.431,0.52,3.77,,,,
145,306.85,0.37,0.48,3.36,,,,
146,353.41,0.442,0.56,4.18,,,,
147,368.52,0.535,0.6,4.71,,,,
148,362.6,0.467,0.57,4.1,,,,
149,373.95,0.495,0.59,4.5,,,,
150,325.87,0.349,0.48,2.56,309.05,0.274,1.82,fixed
151,351.42,0.448,0.55,3.66,,,,
152,295.58,0.316,0.43,2.55,,,,
153,381.54,0.556,0.63,4.91,,,,
154,314.62,0.397,0.5,3.52,,,,
155,393.31,0.534,0.63,4.56,,,,
156,337.94,0.421,0.53,3.67,,,,
157,386.19,0.523,0.62,4.6,,,,
158,299.28,0.371,0.47,3.22,,,,
159,326.58,0.412,0.52,3.13,,,,
160,373.14,0.519,0.61,4.86,,,,
161,354.01,0.466,0.57,4.29,,,,
162,321.31,0.485,0.55,4.07,,,,
163,361.06,0.492,0.58,4.25,,,,
164,324.24,0.451,0.53,3.9,,,,
165,282.08,0.4,0.48,3.24,,,,
166,380.66,0.519,0.61,4.5,,,,
167,396.79,0.464,0.6,3.77,,,,
168,340.83,0.437,0.53,3.37,,,,
169,323.91,0.422,0.52,3.44,,,,
170,376.23,0.47,0.59,3.89,,,,
171,386.64,0.499,0.61,4.43,,,,
172,383.18,0.486,0.59,4.33,,,,
173,372.6,0.438,0.56,3.22,,,,
174,347.23,0.414,0.53,3.02,,,,
175,370.24,0.449,0.57,3.98,390.25,0.444,3.35,fixed
176,382.81,0.523,0.61,4.33,,,,
177,315.31,0.409,0.51,3.37,,,,
178,384.42,0.466,0.59,3.82,,,,
179,374.34,0.44,0.57,3.51,,,,
180,377.06,0.475,0.59,3.59,,,,
181,386.74,0.459,0.59,3.59,,,,
182,365.99,0.524,0.6,4.27,,,,
183,390.48,0.515,0.62,4.23,,,,
184,388.0,0.501,0.61,4.1,,,,
185,373.64,0.493,0.59,4.47,,,,
186,353.2,0.411,0.54,3.97,,,,
187,372.13,0.538,0.61,4.42,,,,
188,382.24,0.506,0.61,4.18,,,,
189,367.54,0.472,0.58,3.82,,,,
190,339.64,0.415,0.53,3.26,,,,
191,378.28,0.497,0.59,4.58,,,,
192,376.38,0.478,0.59,3.84,,,,
193,367.94,0.427,0.55,3.09,,,,
194,335.42,0.381,0.51,3.36,,,,
195,336.51,0.394,0.51,3.18,,,,
196,322.4,0.414,0.51,3.4,,,,
197,303.14,0.237,0.39,1.71,,,,
198,307.5,0.345,0.46,2.65,,,,
199,337.08,0.418,0.53,3.26,,,,
200,352.17,0.409,0.53,3.12,373.88,0.475,3.82,fixed
201,343.97,0.408,0.53,3.05,,,,
202,298.1,0.329,0.45,2.5,,,,
203,348.72,0.368,0.5,2.86,,,,
204,329.68,0.354,0.48,2.85,,,,
205,355.16,0.486,0.57,4.53,,,,
206,389.68,0.456,0.59,4.02,,,,
207,301.12,0.316,0.44,2.41,,,,
208,383.98,0.478,0.59,4.2,,,,
209,346.07,0.435,0.54,3.68,,,,
210,383.93,0.466,0.59,4.22,,,,
